Year,"# Properties Built"
1799,1
1832,1
1870,2
1880,1
1890,1
1893,1
1894,1
1899,93
1900,72
1901,1
1902,2
1903,3
1904,8
1905,9
1906,6
1907,2
1908,3
1909,17
1910,161
1911,3
1912,5
1913,1
1914,1
1915,53
1916,8
1917,9
1918,30
1919,23
1920,561
1921,11
1922,20
1923,55
1924,79
1925,258
1926,68
1927,42
1928,230
1929,89
1930,1008
1931,41
1932,72
1933,73
1934,66
1935,418
1936,89
1937,69
1938,195
1939,76
1940,751
1941,89
1942,89
1943,49
1944,32
1945,395
1946,176
1947,194
1948,538
1949,258
1950,1153
1951,276
1952,291
1953,322
1954,312
1955,1005
1956,469
1957,364
1958,536
1959,413
1960,759
1961,379
1962,459
1963,441
1964,355
1965,387
1966,339
1967,298
1968,323
1969,216
1970,191
1971,245
1972,299
1973,222
1974,176
1975,118
1976,160
1977,188
1978,204
1979,213
1980,153
1981,107
1982,74
1983,316
1984,466
1985,372
1986,302
1987,305
1988,185
1989,149
1990,92
1991,95
1992,59
1993,78
1994,78
1995,84
1996,97
1997,138
1998,87
1999,123
2000,97
2001,73
2002,60
2003,64
2004,81
2005,94
2006,105
2007,105
2008,68
2009,47
2010,36
2011,32
2012,71
2013,297
2014,526
2015,712
2016,600
2017,13
