P_City,SaleDate,TotalSales,Cum_Sales
" ANTIOCH",2013-01-03,304000,304000
" ANTIOCH",2013-01-04,831830,1135830
" ANTIOCH",2013-01-07,314760,1450590
" ANTIOCH",2013-01-08,139900,1590490
" ANTIOCH",2013-01-09,190000,1780490
" ANTIOCH",2013-01-10,492800,2273290
" ANTIOCH",2013-01-11,162000,2435290
" ANTIOCH",2013-01-14,244500,2679790
" ANTIOCH",2013-01-15,538510,3218300
" ANTIOCH",2013-01-16,207000,3425300
" ANTIOCH",2013-01-18,717000,4142300
" ANTIOCH",2013-01-22,568400,4710700
" ANTIOCH",2013-01-23,90000,4800700
" ANTIOCH",2013-01-24,139000,4939700
" ANTIOCH",2013-01-25,139144,5078844
" ANTIOCH",2013-01-28,153000,5231844
" ANTIOCH",2013-01-29,45000,5276844
" ANTIOCH",2013-01-30,147362,5424206
" ANTIOCH",2013-01-31,119900,5544106
" ANTIOCH",2013-02-04,95000,5639106
" ANTIOCH",2013-02-05,14000,5653106
" ANTIOCH",2013-02-06,179900,5833006
" ANTIOCH",2013-02-07,394700,6227706
" ANTIOCH",2013-02-08,613051,6840757
" ANTIOCH",2013-02-12,249900,7090657
" ANTIOCH",2013-02-13,646930,7737587
" ANTIOCH",2013-02-14,386990,8124577
" ANTIOCH",2013-02-15,337400,8461977
" ANTIOCH",2013-02-18,35000,8496977
" ANTIOCH",2013-02-19,224533,8721510
" ANTIOCH",2013-02-20,82620,8804130
" ANTIOCH",2013-02-22,402500,9206630
" ANTIOCH",2013-02-25,25000,9231630
" ANTIOCH",2013-02-26,536900,9768530
" ANTIOCH",2013-02-27,288000,10056530
" ANTIOCH",2013-02-28,319500,10376030
" ANTIOCH",2013-03-01,729988,11106018
" ANTIOCH",2013-03-04,313000,11419018
" ANTIOCH",2013-03-05,146000,11565018
" ANTIOCH",2013-03-06,130000,11695018
" ANTIOCH",2013-03-07,16000,11711018
" ANTIOCH",2013-03-08,887690,12598708
" ANTIOCH",2013-03-11,85000,12683708
" ANTIOCH",2013-03-12,515500,13199208
" ANTIOCH",2013-03-13,580771,13779979
" ANTIOCH",2013-03-14,616390,14396369
" ANTIOCH",2013-03-15,1088549,15484918
" ANTIOCH",2013-03-18,199941,15684859
" ANTIOCH",2013-03-19,40000,15724859
" ANTIOCH",2013-03-20,603800,16328659
" ANTIOCH",2013-03-21,467400,16796059
" ANTIOCH",2013-03-22,559500,17355559
" ANTIOCH",2013-03-25,330000,17685559
" ANTIOCH",2013-03-28,246500,17932059
" ANTIOCH",2013-04-02,187000,18119059
" ANTIOCH",2013-04-03,348972,18468031
" ANTIOCH",2013-04-04,636980,19105011
" ANTIOCH",2013-04-05,793880,19898891
" ANTIOCH",2013-04-08,282500,20181391
" ANTIOCH",2013-04-09,307805,20489196
" ANTIOCH",2013-04-10,365849,20855045
" ANTIOCH",2013-04-11,252990,21108035
" ANTIOCH",2013-04-12,438900,21546935
" ANTIOCH",2013-04-15,268000,21814935
" ANTIOCH",2013-04-16,533295,22348230
" ANTIOCH",2013-04-18,464000,22812230
" ANTIOCH",2013-04-19,343900,23156130
" ANTIOCH",2013-04-22,409990,23566120
" ANTIOCH",2013-04-23,125000,23691120
" ANTIOCH",2013-04-24,658329,24349449
" ANTIOCH",2013-04-25,650631,25000080
" ANTIOCH",2013-04-26,674200,25674280
" ANTIOCH",2013-04-29,509551,26183831
" ANTIOCH",2013-04-30,6255600,32439431
" ANTIOCH",2013-05-01,287800,32727231
" ANTIOCH",2013-05-02,175000,32902231
" ANTIOCH",2013-05-03,1029690,33931921
" ANTIOCH",2013-05-06,902953,34834874
" ANTIOCH",2013-05-07,284540,35119414
" ANTIOCH",2013-05-08,208000,35327414
" ANTIOCH",2013-05-09,325000,35652414
" ANTIOCH",2013-05-10,613260,36265674
" ANTIOCH",2013-05-13,729751,36995425
" ANTIOCH",2013-05-14,396895,37392320
" ANTIOCH",2013-05-15,955388,38347708
" ANTIOCH",2013-05-16,578600,38926308
" ANTIOCH",2013-05-17,1071000,39997308
" ANTIOCH",2013-05-20,269900,40267208
" ANTIOCH",2013-05-21,308900,40576108
" ANTIOCH",2013-05-22,723001,41299109
" ANTIOCH",2013-05-23,5699200,46998309
" ANTIOCH",2013-05-24,782382,47780691
" ANTIOCH",2013-05-28,1574000,49354691
" ANTIOCH",2013-05-29,389000,49743691
" ANTIOCH",2013-05-30,1240700,50984391
" ANTIOCH",2013-05-31,1863000,52847391
" ANTIOCH",2013-06-03,635550,53482941
" ANTIOCH",2013-06-04,55000,53537941
" ANTIOCH",2013-06-05,195000,53732941
" ANTIOCH",2013-06-06,195000,53927941
" ANTIOCH",2013-06-07,317800,54245741
" ANTIOCH",2013-06-08,127500,54373241
" ANTIOCH",2013-06-10,745476,55118717
" ANTIOCH",2013-06-11,500500,55619217
" ANTIOCH",2013-06-12,260000,55879217
" ANTIOCH",2013-06-13,282000,56161217
" ANTIOCH",2013-06-14,975783,57137000
" ANTIOCH",2013-06-17,329900,57466900
" ANTIOCH",2013-06-18,687600,58154500
" ANTIOCH",2013-06-19,473890,58628390
" ANTIOCH",2013-06-20,613829,59242219
" ANTIOCH",2013-06-21,314900,59557119
" ANTIOCH",2013-06-24,314000,59871119
" ANTIOCH",2013-06-25,920500,60791619
" ANTIOCH",2013-06-26,311000,61102619
" ANTIOCH",2013-06-27,352840,61455459
" ANTIOCH",2013-06-28,39999882,101455341
" ANTIOCH",2013-07-01,785556,102240897
" ANTIOCH",2013-07-02,621650,102862547
" ANTIOCH",2013-07-03,761665,103624212
" ANTIOCH",2013-07-05,424690,104048902
" ANTIOCH",2013-07-08,344004,104392906
" ANTIOCH",2013-07-09,782212,105175118
" ANTIOCH",2013-07-10,710000,105885118
" ANTIOCH",2013-07-11,165000,106050118
" ANTIOCH",2013-07-12,5126390,111176508
" ANTIOCH",2013-07-15,928900,112105408
" ANTIOCH",2013-07-17,646500,112751908
" ANTIOCH",2013-07-18,353000,113104908
" ANTIOCH",2013-07-19,1856300,114961208
" ANTIOCH",2013-07-22,209900,115171108
" ANTIOCH",2013-07-23,532750,115703858
" ANTIOCH",2013-07-24,507400,116211258
" ANTIOCH",2013-07-25,979005,117190263
" ANTIOCH",2013-07-26,1092014,118282277
" ANTIOCH",2013-07-29,894578,119176855
" ANTIOCH",2013-07-30,1432400,120609255
" ANTIOCH",2013-07-31,2115025,122724280
" ANTIOCH",2013-08-01,884390,123608670
" ANTIOCH",2013-08-02,373870,123982540
" ANTIOCH",2013-08-06,150000,124132540
" ANTIOCH",2013-08-07,69500,124202040
" ANTIOCH",2013-08-08,90000,124292040
" ANTIOCH",2013-08-09,670000,124962040
" ANTIOCH",2013-08-12,540990,125503030
" ANTIOCH",2013-08-13,1069890,126572920
